"tveg","tflo","tgra","fdate","gdate","maxDT_veg","minDT_veg","maxNT_veg","minNT_veg","DTR_veg","SU_veg","WSDI_veg","CSDI_veg","T10p_veg","T90p_veg","maxDT_flo","minDT_flo","maxNT_flo","minNT_flo","DTR_flo","WSDI_flo","CSDI_flo","T10p_flo","T90p_flo","maxDT_gra","minDT_gra","maxNT_gra","minNT_gra","DTR_gra","WSDI_gra","CSDI_gra","T10p_gra","T90p_gra","hts_mean_19_flo","hts_max_26_flo","hts_mean_19_all","hts_mean_25_all","hts_max_26_all","cdi_mean_22_all","cdi_mean_23_all","cdi_mean_24_all"
44,24,15,17494,17518,25.4234252929688,17.9641357421875,18.6608215332031,14.14150390625,5,0,2,2,15.5529876708985,24.5973815917969,23.6430297851563,14.4034362792969,17.4201293945313,12.4351440429688,4,1,1,12.9951171875,23.1075805664063,24.7902465820313,14.4034362792969,18.27626953125,12.4351440429688,5,2,5,14.0716766357422,23.1971557617188,0.25,0,0.493975903614458,0,0,0,0,0
32,16,35,17462,17478,30.4657836914063,23.8527770996094,20.7793823242188,18.5662780761719,7,1,2,2,19.0340545654297,28.8345367431641,25.8379150390625,19.8476196289063,20.15029296875,16.2689147949219,4,1,1,17.1722045898438,24.8917785644531,25.8379150390625,15.6994567871094,20.01943359375,14.94912109375,4,3,2,16.1431213378906,23.9499908447266,0.9375,0,0.91566265060241,0.0240963855421687,0.27710843373494,2.18081863587163,1.18081863587163,0.180818635871635
41,19,23,17504,17523,26.3795104980469,20.10244140625,19.6681762695313,13.8407836914063,5,0,2,2,16.2218566894531,24.7489868164063,25.1643310546875,16.6201110839844,18.5543762207031,14.3041015625,5,1,1,14.6549560546875,24.3976318359375,25.8882995605469,16.6201110839844,18.5543762207031,13.8407836914063,5,1,2,14.8970367431641,24.2872802734375,0.736842105263158,0,0.783132530120482,0,0.0120481927710843,0.571038450677733,0,0
44,24,15,17494,17518,25.4234252929688,17.9641357421875,18.6608215332031,14.14150390625,5,0,2,2,15.5529876708985,24.5973815917969,23.6430297851563,14.4034362792969,17.4201293945313,12.4351440429688,4,1,1,12.9951171875,23.1075805664063,24.7902465820313,14.4034362792969,18.27626953125,12.4351440429688,5,2,5,14.0716766357422,23.1971557617188,0.25,0,0.493975903614458,0,0,0,0,0
38,19,26,17468,17487,28.5186401367188,18.6294189453125,18.7973571777344,14.6551452636719,6,0,2,1,17.1384002685547,26.8117492675782,24.4412475585938,19.9898315429688,18.164208984375,15.3578430175781,5,2,1,15.6560791015625,23.3087097167969,25.0929504394531,15.0192504882813,18.7973571777344,13.4838195800781,5,4,2,14.7190124511719,23.6530639648438,0.684210526315789,0,0.650602409638554,0,0.120481927710843,0.819705604645165,0,0
39,18,49,17511,17529,26.9773193359375,19.9712768554688,20.5705810546875,14.6874633789063,5,0,2,2,16.7800048828125,25.4735290527344,25.8888488769531,16.6166015625,19.6146789550781,14.0517517089844,6,1,1,14.6019653320313,25.6467498779297,27.7495666503906,15.9794555664063,18.6861511230469,13.7818237304688,5,2,5,14.7925476074219,25.5077453613281,0.777777777777778,0,0.855932203389831,0,0.0932203389830508,1.44930187160688,0.449301871606881,0
38,19,26,17488,17507,26.9311462402344,19.7247253417969,19.7993713378906,15.71767578125,5,0,1,2,16.6179290771485,26.2261016845703,25.2930541992188,20.01357421875,17.52626953125,13.378564453125,6,1,1,14.8571960449219,24.3572631835938,25.3213134765625,16.3681884765625,18.5161376953125,13.378564453125,6,1,5,14.7539367675781,24.335205078125,0.736842105263158,0,0.843373493975904,0,0.0602409638554217,1.21423611928184,0.214236119281839,0
34,17,32,17484,17501,28.2824645996094,20.6781555175781,21.146630859375,16.7206359863281,6,0,1,2,17.6969360351563,27.5447631835938,26.4374328613281,21.4154296875,19.7619262695313,14.1839538574219,6,2,1,15.7770751953125,25.166796875,26.4394165039063,17.0668579101563,19.7619262695313,14.1839538574219,6,2,5,15.5834594726563,25.370263671875,0.941176470588235,0.0588235294117647,0.939759036144578,0,0.204819277108434,2.28103652402582,1.28103652402582,0.281036524025815
33,17,33,17463,17480,30.0021606445313,23.6879516601563,20.2045227050781,18.1334167480469,7,1,2,2,18.5837524414063,28.4060424804688,25.5275207519531,19.8376708984375,19.5119262695313,15.9740844726563,4,2,1,16.85673828125,24.5934936523438,25.5275207519531,15.8521362304688,19.5119262695313,14.7057434082031,4,3,2,15.9337646484375,23.9101257324219,0.941176470588235,0,0.891566265060241,0,0.228915662650602,1.96285143013462,0.962851430134624,0
44,24,15,17494,17518,25.4234252929688,17.9641357421875,18.6608215332031,14.14150390625,5,0,2,2,15.5529876708985,24.5973815917969,23.6430297851563,14.4034362792969,17.4201293945313,12.4351440429688,4,1,1,12.9951171875,23.1075805664063,24.7902465820313,14.4034362792969,18.27626953125,12.4351440429688,5,2,5,14.0716766357422,23.1971557617188,0.25,0,0.493975903614458,0,0,0,0,0
